TrainStep,Cifar10-Loss,Cifar20-Loss,Cifar100-Loss,TrainStep,Cifar10-Accuracy,Cifar20-Accuracy,Cifar100-Accuracy
1500,1.227014,1.612201,2.498126,1500,0.71,0.74,0.6
1510,0.844948,1.836805,2.442184,1510,0.87,0.66,0.65
1520,1.146922,1.725965,2.596557,1520,0.72,0.72,0.58
1530,0.97465,1.541586,2.702008,1530,0.9,0.83,0.65
1540,0.833389,1.82443,2.495779,1540,0.86,0.7,0.63
1550,0.947222,1.578928,2.547458,1550,0.84,0.73,0.68
1560,1.056641,1.511966,2.891257,1560,0.75,0.75,0.57
1570,0.805155,1.477933,2.4454,1570,0.85,0.79,0.73
1580,0.810853,1.874121,2.711292,1580,0.88,0.65,0.59
1590,0.964836,1.561492,2.390678,1590,0.87,0.72,0.73
1600,0.814332,1.596693,2.732655,1600,0.92,0.79,0.61
1610,0.853446,1.776296,2.517755,1610,0.89,0.68,0.66
1620,0.933137,1.562956,2.71184,1620,0.91,0.75,0.69
1630,0.938173,1.657148,2.632664,1630,0.86,0.76,0.62
1640,0.824081,1.440627,2.222694,1640,0.9,0.79,0.71
1650,0.859046,1.430804,2.40967,1650,0.85,0.81,0.7
1660,1.073396,1.740524,2.669248,1660,0.79,0.73,0.59
1670,0.894345,1.501077,2.738708,1670,0.83,0.8,0.64
1680,0.742507,1.631471,2.724097,1680,0.92,0.68,0.67
1690,0.928028,1.541707,2.320461,1690,0.85,0.78,0.71
1700,0.960171,1.836595,2.586678,1700,0.82,0.81,0.6
1710,0.860866,1.536486,2.70277,1710,0.88,0.69,0.61
1720,0.784025,1.547926,2.559738,1720,0.87,0.82,0.64
1730,0.728421,1.675149,2.437596,1730,0.87,0.81,0.76
1740,0.726315,1.825349,2.480528,1740,0.89,0.75,0.73
1750,0.99016,1.592426,2.47581,1750,0.86,0.77,0.66
1760,0.978188,1.737494,2.55712,1760,0.89,0.76,0.6
1770,0.884609,1.678252,2.308551,1770,0.9,0.8,0.65
1780,0.977251,1.613303,2.176393,1780,0.86,0.75,0.77
1790,0.798446,1.865394,2.431567,1790,0.9,0.72,0.7
1800,0.945474,1.711928,2.518261,1800,0.81,0.72,0.64
1810,0.704983,1.779728,2.611708,1810,0.86,0.75,0.64
1820,0.806297,1.802334,2.401978,1820,0.92,0.69,0.65
1830,0.809732,1.84369,2.578735,1830,0.92,0.7,0.58
1840,0.978783,1.734759,2.527151,1840,0.81,0.68,0.68
1850,0.739392,1.805583,2.583087,1850,0.95,0.7,0.72
1860,1.09167,1.789885,2.309453,1860,0.86,0.71,0.67
1870,0.811913,1.62006,2.493256,1870,0.91,0.83,0.73
1880,0.931109,2.03069,2.653742,1880,0.83,0.77,0.63
1890,0.877522,1.532627,2.533225,1890,0.89,0.75,0.68
1900,0.68142,1.624037,2.213544,1900,0.97,0.79,0.68
1910,0.832512,1.262473,2.406839,1910,0.85,0.85,0.68
1920,0.713075,1.579728,2.540675,1920,0.97,0.8,0.71
1930,0.879448,1.516977,2.423963,1930,0.86,0.77,0.68
1940,0.770149,1.550788,2.298669,1940,0.89,0.77,0.71
1950,0.877288,1.261227,2.271966,1950,0.81,0.85,0.69
1960,1.056332,1.407317,2.813893,1960,0.74,0.8,0.67
1970,0.867814,1.764712,2.130729,1970,0.91,0.82,0.76
1980,0.705915,1.510446,2.619182,1980,0.92,0.74,0.62
1990,0.888282,1.520644,2.031345,1990,0.89,0.76,0.78
2000,0.852144,2.039828,2.60052,2000,0.9,0.68,0.66
2010,0.63563,1.740904,2.933203,2010,0.91,0.71,0.57
2020,0.98944,1.550429,2.743754,2020,0.81,0.84,0.62
2030,0.955484,1.670794,2.264408,2030,0.85,0.76,0.73
2040,0.987635,1.451879,2.625551,2040,0.88,0.78,0.73
2050,0.787463,1.258481,2.308219,2050,0.94,0.88,0.71
2060,0.882777,1.518962,2.280223,2060,0.86,0.77,0.73
2070,0.777794,1.831888,2.24753,2070,0.9,0.61,0.72
2080,0.796084,1.598138,2.486864,2080,0.89,0.84,0.66
2090,0.978154,1.457752,2.606385,2090,0.88,0.91,0.62
2100,0.881579,1.72953,2.24665,2100,0.86,0.78,0.76
2110,0.896951,1.532388,2.76993,2110,0.89,0.83,0.64
2120,0.908591,1.569396,2.182895,2120,0.86,0.82,0.77
2130,0.770471,1.340646,2.372699,2130,0.9,0.73,0.74
2140,0.837951,1.815363,2.565098,2140,0.84,0.77,0.66
2150,0.720335,1.44237,2.411,2150,0.9,0.84,0.63
2160,0.837359,1.49242,2.204457,2160,0.82,0.71,0.74
2170,0.732457,1.601634,2.700449,2170,0.89,0.74,0.73
2180,0.776646,1.432289,2.161049,2180,0.87,0.81,0.77
2190,0.691231,1.232629,2.089435,2190,0.88,0.84,0.77
2200,0.71124,1.643211,2.066091,2200,0.87,0.81,0.76
2210,0.958458,1.395215,2.344417,2210,0.85,0.84,0.78
2220,0.813269,1.543702,2.183596,2220,0.9,0.78,0.76
2230,0.689733,1.48781,2.367799,2230,0.83,0.76,0.62
2240,0.840085,1.107561,2.336205,2240,0.82,0.87,0.69
2250,0.609965,1.315137,2.245855,2250,0.98,0.82,0.74
2260,0.827886,1.395951,2.291692,2260,0.84,0.81,0.77
2270,0.675173,1.560806,2.559978,2270,0.89,0.8,0.62
2280,0.859151,1.310846,2.113974,2280,0.94,0.84,0.78
2290,1.022725,1.440072,2.171804,2290,0.85,0.78,0.72
2300,1.038822,1.628026,2.272678,2300,0.82,0.77,0.74
2310,0.725262,1.581073,2.415979,2310,0.89,0.76,0.72
2320,0.738466,1.71256,2.425335,2320,0.88,0.63,0.66
2330,1.082475,1.474866,2.072286,2330,0.89,0.82,0.76
2340,0.765446,1.548825,2.619988,2340,0.94,0.8,0.61
